remixid,artistid
OCR02443,4283
OCR01999,4755
OCR01999,5717
OCR00559,4320
OCR00550,4326
OCR00689,4362
OCR00689,4714
OCR01880,4752
OCR01880,5199
OCR01911,4787
OCR03311,12542
OCR00342,4329
OCR00354,4313
OCR01878,4748
OCR00599,4438
OCR01867,4645
OCR01963,4790
OCR03391,4304
OCR02038,5198
OCR01968,5198
OCR01968,5420
OCR01353,4512
OCR01930,4549
OCR01882,4721
OCR02131,4773
OCR03313,14607
OCR00519,4289
OCR03409,10136
OCR03211,14484
OCR03211,5040
OCR03206,10221
OCR00975,4501
OCR03510,12064
OCR03210,10136
OCR00814,4279
OCR03508,5473
OCR03508,4754
OCR03394,4587
OCR03516,13048
OCR03207,4279
OCR03209,4793
OCR01267,4627
OCR01113,4578
OCR01113,4412
OCR00575,4326
OCR03205,4751
OCR00484,4289
OCR03526,13668
OCR00152,4280
OCR01238,4633
OCR01238,4509
OCR03204,12064
OCR03441,15316
OCR03477,15468
OCR00320,4324
OCR03556,10136
OCR00512,4299
OCR00795,4495
OCR00656,4296
OCR01227,4631
OCR00872,4521
OCR03550,4637
OCR03357,14937
OCR01859,5040
OCR03544,10866
OCR02249,10223
OCR01064,4576
OCR03404,4685
OCR03212,4754
OCR03212,14486
OCR02040,5878
OCR02947,12541
OCR02252,4486
OCR01448,4595
OCR00902,4331
OCR00902,4434
OCR02953,14011
OCR03166,5420
OCR01035,4567
OCR00721,4450
OCR02838,11930
OCR02230,4777
OCR02230,5420
OCR03339,4482
OCR02850,4753
OCR03341,10683
OCR03341,4685
OCR00552,4293
OCR01581,4723
OCR02207,10136
OCR02228,4787
OCR01515,4720
OCR02094,4482
OCR01710,4751
OCR01352,4575
OCR02229,4751
OCR02149,4482
OCR02092,4723
OCR03340,4313
OCR01718,4574
OCR00465,4295
OCR02232,4793
OCR01756,4787
OCR02091,4685
OCR02231,4799
OCR02093,4628
OCR01627,4723
OCR02688,5655
OCR01697,4540
OCR02687,10683
OCR02687,4659
OCR02687,12064
OCR02687,4628
OCR03034,14128
OCR03034,14127
OCR03034,13667
OCR01308,4628
OCR02692,5420
OCR01946,5390
OCR01179,4501
OCR02498,4574
OCR01533,4555
OCR03367,13740
OCR01081,4540
OCR02690,4381
OCR00130,4280
OCR02757,4754
OCR02757,12064
OCR01304,4649
OCR01304,4665
OCR01135,4599
OCR01943,4787
OCR02796,5409
OCR02796,4655
OCR02722,12953
OCR02722,12957
OCR01582,4738
OCR01582,4559
OCR01645,4738
OCR01645,4559
OCR01433,4694
OCR01433,4695
OCR00199,4324
OCR00719,4471
OCR01839,5038
OCR02960,4726
OCR02960,4729
OCR01605,4744
OCR00899,4526
OCR00957,4526
OCR02723,4751
OCR03083,14130
OCR01360,4637
OCR00205,4281
OCR02645,4301
OCR00852,4331
OCR01990,4628
OCR00239,4325
OCR00250,4280
OCR01685,4628
OCR02506,11780
OCR03094,4738
OCR03094,4559
OCR00744,4293
OCR00750,4479
OCR02695,4729
OCR02695,4588
OCR03331,5655
OCR02836,10990
OCR02720,5184
OCR02719,4722
OCR00183,4301
OCR02212,5939
OCR02212,5826
OCR00139,4280
OCR03192,4655
OCR02766,4759
OCR02885,12064
OCR02691,12064
OCR01415,4433
OCR02246,10663
OCR01831,4723
OCR02693,12941
OCR02693,12942
OCR01695,4558
OCR00977,4326
OCR00510,4326
OCR00426,4298
OCR02854,12064
OCR01555,4515
OCR00699,4403
OCR01358,4672
OCR01604,4574
OCR02079,9080
OCR01868,4751
OCR03519,14375
OCR00954,4463
